candidate,state,standardized_office_18,standardized_status_18,redistricting_role,amount_18_in_state,amount_18_out_of_state,amount_18_unknown,amount_18_total,pct_18_in_state,pct_18_out_of_state,pct_18_unknown,standardized_office_14,standardized_status_14,amount_14_in_state,amount_14_out_of_state,amount_14_unknown,amount_14_total,pct_14_in_state,pct_14_out_of_state,pct_14_unknown,standardized_office_10,standardized_status,amount_10_in_state,amount_10_out_of_state,amount_10_unknown,amount_10_total,pct_10_in_state,pct_10_out_of_state,pct_10_unknown
"ALEXANDER, KIMBERLY",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$4,600",$250,$0,"$4,850",95%,5%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$3,750","$1,000",$0,"$4,750",79%,21%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$3,050",$0,"$1,025","$4,075",75%,0%,25%
"ALEXANDER, LOUISE (LULU)",AL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$79,554","$1,750",$0,"$81,304",98%,2%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$27,660",$0,$500,"$28,160",98%,0%,2%,,,,,,,,,
"ALEXANDER, RAMON",FL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$26,369","$6,000","$1,000","$33,369",79%,18%,3%,,,,,,,,,,,,,,,,,,
"ALEXANDER, TERRY",SC,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$5,449","$1,962",$250,"$7,661",71%,26%,3%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$36,024","$1,750",$0,"$37,774",95%,5%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$7,250",$750,$0,"$8,000",91%,9%,0%
"ALI, BILAL",MD,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$69,186","$13,750",$0,"$82,936",83%,17%,0%,,,,,,,,,,,,,,,,,,
"ALI, HANA",TN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$18,750","$15,450",$0,"$34,200",55%,45%,0%,,,,,,,,,,,,,,,,,,
"ALI, ZAKI",IN,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$45,850",$0,$0,"$45,850",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ALIAGA, JOSE",MI,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$35,260",$0,$0,"$35,260",100%,0%,0%,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$17,526",$50,$0,"$17,576",100%,0%,0%,,,,,,,,,
"ALLARD, JAMIE D",AK,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,N,"$10,214","$1,176",$0,"$11,390",90%,10%,0%,,,,,,,,,,,,,,,,,,
"ALLEN, ALMA",TX,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$3,167",$500,$0,"$3,667",86%,14%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$88,009","$4,100",$0,"$92,109",96%,4%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$10,550",$0,$0,"$10,550",100%,0%,0%
"ALLEN, BARBARA",WY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$5,250","$1,500",$0,"$6,750",78%,22%,0%,,,,,,,,,,,,,,,,,,
"ALLEN, BENJAMIN",CA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$1,337,023","$184,111","$23,650","$1,544,784",87%,12%,2%,,,,,,,,,,,,,,,,,,
"ALLEN, CHARLES T (CHAZ)",IA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$55,000","$11,332",$0,"$66,332",83%,17%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$8,915",$250,$0,"$9,165",97%,3%,0%,,,,,,,,,
"ALLEN, CHINITA",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$8,384",$654,$0,"$9,038",93%,7%,0%,,,,,,,,,,,,,,,,,,
"ALLEN, DUSTIN",KY,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$1,687",$0,$0,"$1,687",100%,0%,0%,,,,,,,,,,,,,,,,,,
"ALLEN, ERICK E",GA,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,N,"$34,367","$7,920",$0,"$42,287",81%,19%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$15,025","$12,200",$0,"$27,225",55%,45%,0%,,,,,,,,,
"ALLEN, FRED",AR,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$4,750","$1,000",$0,"$5,750",83%,17%,0%,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$11,700","$2,300",$0,"$14,000",84%,16%,0%
"ALLEN, GERALD",AL,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,Y,"$233,454","$24,500",$0,"$257,954",91%,9%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$291,213","$19,460",$250,"$310,924",94%,6%,0%,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$70,200","$2,000","$1,700","$73,900",95%,3%,2%
"ALLEN, ISAAC",KY,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,Y,"$8,427",$0,$300,"$8,727",97%,0%,3%,,,,,,,,,,,,,,,,,,
