state,party,contributions_18_governor/lieutenant_governor_in_state,contributions_18_governor/lieutenant_governor_out_of_state,contributions_18_governor/lieutenant_governor_unknown,contributions_18_governor/lieutenant_governor_total,contributions_18_state_house/assembly/senate_in_state,contributions_18_state_house/assembly/senate_out_of_state,contributions_18_state_house/assembly/senate_unknown,contributions_18_state_house/assembly/senate_total,pct_governor/lieutenant_governor_in_state,pct_governor/lieutenant_governor_out_of_state,pct_governor/lieutenant_governor_unknown,pct_state_house/assembly/senate_in_state,pct_state_house/assembly/senate_out_of_state,pct_state_house/assembly/senate_unknown
CA,Third-Party,"$194,831","$14,732",$574,"$210,137","$40,376","$6,666","$15,500","$62,543",93%,7%,0%,65%,11%,25%
CO,Democratic,"$22,847,920","$1,884,047","$37,667","$24,769,633","$2,933,853","$524,295","$48,576","$3,506,723",92%,8%,0%,84%,15%,1%
CO,Republican,"$8,462,000","$780,627",$0,"$9,242,627","$1,182,264","$111,761","$13,443","$1,307,468",92%,8%,0%,90%,9%,1%
CO,Third-Party,"$1,600",$0,$0,"$1,600","$98,694","$54,823",$5,"$153,523",100%,0%,0%,64%,36%,0%
CT,Democratic,"$1,844,486","$180,236","$2,318,200","$4,342,922","$3,185,099","$190,725","$15,137","$3,390,962",42%,4%,53%,94%,6%,0%
CT,Republican,"$14,563,180","$65,395","$1,002,225","$15,630,800","$1,862,790","$49,731","$3,566","$1,916,087",93%,0%,6%,97%,3%,0%
CT,Third-Party,$0,$0,$0,$0,"$5,550",$125,$0,"$5,675",,,,98%,2%,0%
DE,Democratic,$0,$0,$0,$0,"$576,983","$101,735",$300,"$679,018",,,,85%,15%,0%
DE,Republican,$0,$0,$0,$0,"$496,091","$32,877",$103,"$529,071",,,,94%,6%,0%
DE,Third-Party,$0,$0,$0,$0,"$2,224",$0,"$20,850","$23,074",,,,10%,0%,90%
FL,Democratic,"$88,193,882","$4,114,872","$48,389","$92,357,142","$11,877,617","$1,400,004","$506,688","$13,784,309",95%,4%,0%,86%,10%,4%
FL,Republican,"$15,305,289","$1,490,206","$62,013","$16,857,509","$23,793,922","$2,391,571","$1,887,273","$28,072,765",91%,9%,0%,85%,9%,7%
FL,Third-Party,"$59,531","$6,483","$6,633","$72,647","$181,404","$6,985",$115,"$188,504",82%,9%,9%,96%,4%,0%
GA,Democratic,"$5,809,758","$3,282,713",$650,"$9,093,121","$3,491,559","$693,855","$28,507","$4,213,920",64%,36%,0%,83%,16%,1%
GA,Republican,"$26,994,857","$2,039,499","$13,200","$29,047,556","$12,596,707","$2,528,725","$325,985","$15,451,417",93%,7%,0%,82%,16%,2%
HI,Democratic,"$5,408,795","$790,763","$1,200","$6,200,758","$3,140,329","$396,876","$266,730","$3,803,935",87%,13%,0%,83%,10%,7%
HI,Nonpartisan,$0,$0,$0,$0,"$2,898",$350,$0,"$3,248",,,,89%,11%,0%
HI,Republican,"$279,379","$61,800",$0,"$341,179","$141,216","$18,700","$14,100","$174,016",82%,18%,0%,81%,11%,8%
HI,Third-Party,$0,$0,$0,$0,"$3,510",$600,$0,"$4,110",,,,85%,15%,0%
IA,Democratic,"$8,904,220","$5,055,356","$46,187","$14,005,763","$2,772,379","$617,733","$14,446","$3,404,559",64%,36%,0%,81%,18%,0%
IA,Republican,"$5,140,170","$2,195,124",$0,"$7,335,294","$3,163,007","$444,175",$343,"$3,607,526",70%,30%,0%,88%,12%,0%
IA,Third-Party,"$11,659","$1,220",$0,"$12,879","$3,572",$405,$0,"$3,977",91%,9%,0%,90%,10%,0%
ID,Democratic,"$2,606,349","$150,192",$0,"$2,756,541","$238,870","$46,187","$2,000","$287,057",95%,5%,0%,83%,16%,1%
ID,Republican,"$6,956,666","$1,103,184",$0,"$8,059,850","$643,329","$200,450","$1,520","$845,299",86%,14%,0%,76%,24%,0%
IL,Democratic,"$122,925,408","$2,589,278",$450,"$125,515,135","$35,151,128","$8,886,610","$2,050","$44,039,787",98%,2%,0%,80%,20%,0%
IL,Republican,"$82,568,377","$151,628",$0,"$82,720,004","$15,859,508","$2,274,207","$76,629","$18,210,344",100%,0%,0%,87%,12%,0%
IL,Third-Party,"$2,812","$1,625",$0,"$4,437","$54,146",$0,$0,"$54,146",63%,37%,0%,100%,0%,0%
IN,Democratic,$0,$0,$0,$0,"$1,262,929","$336,295","$12,085","$1,611,309",,,,78%,21%,1%
IN,Republican,$0,$0,$0,$0,"$4,949,976","$863,097","$6,094","$5,819,168",,,,85%,15%,0%
KS,Democratic,"$382,685","$58,361",$0,"$441,045","$333,755","$152,118","$6,325","$492,198",87%,13%,0%,68%,31%,1%
KS,Republican,"$3,587,250","$514,892",$0,"$4,102,142","$490,146","$233,763","$16,113","$740,022",87%,13%,0%,66%,32%,2%
KY,Democratic,$0,$0,$0,$0,"$3,038,760","$423,927","$9,009","$3,471,696",,,,88%,12%,0%
KY,Republican,$0,$0,$0,$0,"$4,879,990","$647,911","$11,840","$5,539,740",,,,88%,12%,0%
LA,Democratic,$0,$0,$0,$0,"$194,662","$26,520",$0,"$221,182",,,,88%,12%,0%
LA,Republican,$0,$0,$0,$0,"$130,773","$4,500",$0,"$135,273",,,,97%,3%,0%
MA,Democratic,"$1,859,684","$517,252","$1,950","$2,378,886","$11,741,666","$1,013,377","$714,060","$13,469,103",78%,22%,0%,87%,8%,5%
MA,Republican,"$27,700,405","$1,901,050","$1,027,866","$30,629,322","$2,052,349","$146,805","$161,845","$2,360,999",90%,6%,3%,87%,6%,7%
MA,Third-Party,$0,$0,$0,$0,"$4,308",$310,$500,"$5,118",,,,84%,6%,10%
MD,Democratic,"$7,139,875","$6,051,094","$227,683","$13,418,652","$19,428,040","$4,882,855","$1,704,693","$26,015,589",53%,45%,2%,75%,19%,7%
MD,Republican,"$14,655,925","$2,357,796","$58,085","$17,071,806","$6,873,284","$738,449","$311,627","$7,923,360",86%,14%,0%,87%,9%,4%
MD,Third-Party,"$4,503",$185,$0,"$4,688","$34,885","$10,540",$0,"$45,425",96%,4%,0%,77%,23%,0%
ME,Democratic,"$2,714,490","$584,938",$0,"$3,299,429","$1,850,365","$36,274",$0,"$1,886,639",82%,18%,0%,98%,2%,0%
ME,Republican,"$2,126,744","$99,938",$0,"$2,226,682","$965,390","$46,073",$0,"$1,011,463",96%,4%,0%,95%,5%,0%
ME,Third-Party,"$1,454,785","$57,555","$2,410","$1,514,750","$143,006","$4,413",$0,"$147,419",96%,4%,0%,97%,3%,0%
MI,Democratic,"$24,037,813","$3,768,954",$854,"$27,807,621","$10,463,873","$1,197,279","$40,110","$11,701,263",86%,14%,0%,89%,10%,0%
MI,Republican,"$13,023,460","$592,301","$1,275","$13,617,036","$13,146,450","$525,902","$30,314","$13,702,666",96%,4%,0%,96%,4%,0%
MI,Third-Party,"$22,866",$868,"$42,648","$66,382","$8,542","$2,372",$0,"$10,914",34%,1%,64%,78%,22%,0%
MN,Democratic,"$3,089,715","$294,393","$7,990","$3,392,098","$270,442","$16,125","$3,717","$290,284",91%,9%,0%,93%,6%,1%
MN,Republican,"$2,133,927","$214,100",$0,"$2,348,027","$526,858","$29,300","$7,799","$563,957",91%,9%,0%,93%,5%,1%
NC,Democratic,$0,$0,$0,$0,"$7,991,955","$802,272","$2,765","$8,796,992",,,,91%,9%,0%
NC,Republican,$0,$0,$0,$0,"$11,955,871","$1,470,176","$6,504","$13,432,551",,,,89%,11%,0%
NC,Third-Party,$0,$0,$0,$0,"$30,283","$3,087",$0,"$33,370",,,,91%,9%,0%
NE,Democratic,"$107,275","$6,200",$0,"$113,475",$0,$0,$0,$0,95%,5%,0%,,,
NE,Nonpartisan,$0,$0,$0,$0,"$1,639,349","$335,816","-$2,308","$1,972,857",,,,83%,17%,0%
NE,Republican,"$2,099,011","$1,250,338","$5,000","$3,354,349",$0,$0,$0,$0,63%,37%,0%,,,
NM,Democratic,"$6,205,816","$1,718,019","$5,584","$7,929,419","$1,938,185","$469,831","$14,724","$2,422,740",78%,22%,0%,80%,19%,1%
NM,Republican,"$2,766,137","$511,045",$362,"$3,277,544","$709,854","$388,152","$8,082","$1,106,087",84%,16%,0%,64%,35%,1%
NM,Third-Party,"$13,211",$7,$0,"$13,218",$0,$0,$0,$0,100%,0%,0%,,,
NY,Democratic,"$30,573,153","$7,079,341","$57,829","$37,710,323","$17,616,709","$2,003,226","$2,806,214","$22,426,150",81%,19%,0%,79%,9%,13%
NY,Republican,"$1,114,150","$24,343",$0,"$1,138,493","$9,856,312","$1,029,321","$1,064,039","$11,949,672",98%,2%,0%,82%,9%,9%
NY,Third-Party,"$106,021","$65,250","$365,639","$536,910","$5,847",$810,$0,"$6,657",20%,12%,68%,88%,12%,0%
OH,Democratic,"$7,927,361","$3,146,448","$15,309","$11,089,118","$4,459,246","$768,155","$95,337","$5,322,738",71%,28%,0%,84%,14%,2%
OH,Republican,"$16,447,181","$1,898,158","$1,146","$18,346,485","$15,482,693","$1,260,508","$66,761","$16,809,963",90%,10%,0%,92%,7%,0%
OH,Third-Party,"$10,077","$1,624",$275,"$11,976","$60,154","$9,500",$345,"$69,999",84%,14%,2%,86%,14%,0%
OK,Democratic,"$1,956,582","$149,940","-$1,350","$2,105,172","$2,554,176","$188,476","$74,895","$2,817,547",93%,7%,0%,91%,7%,3%
OK,Republican,"$16,210,436","$1,128,169","$1,042,108","$18,380,713","$7,518,410","$699,958","$429,643","$8,648,011",88%,6%,6%,87%,8%,5%
OK,Third-Party,"$25,546","$8,279",$0,"$33,825","$15,840","$1,080",$0,"$16,920",76%,24%,0%,94%,6%,0%
OR,Democratic,"$3,872,751","$2,255,578","-$1,653","$6,126,676","$4,871,360","$983,849","$90,602","$5,945,812",63%,37%,0%,82%,17%,2%
OR,Republican,"$5,204,246","$470,950","-$2,235","$5,672,961","$3,503,424","$692,301","$80,352","$4,276,077",92%,8%,0%,82%,16%,2%
OR,Third-Party,"$2,500",$0,$0,"$2,500","$1,966","$10,000",$66,"$12,032",100%,0%,0%,16%,83%,1%
PA,Democratic,"$19,053,126","$6,226,198","$9,175","$25,288,499","$9,474,643","$1,202,347","$21,917","$10,698,907",75%,25%,0%,89%,11%,0%
PA,Republican,"$22,711,349","$1,033,199",$500,"$23,745,048","$13,009,823","$1,540,136","-$4,419","$14,545,539",96%,4%,0%,89%,11%,0%
PA,Third-Party,$954,$0,"$1,000","$1,954",$0,$0,$0,$0,49%,0%,51%,,,
SC,Democratic,"$2,155,513","$210,819",$0,"$2,366,332","$965,883","$187,100","$9,675","$1,162,659",91%,9%,0%,83%,16%,1%
SC,Republican,"$12,693,491","$2,241,767","-$25,000","$14,910,259","$3,367,079","$498,504","-$102,880","$3,762,703",85%,15%,0%,89%,13%,-3%
SC,Third-Party,$0,$0,$0,$0,"$1,635",$0,$0,"$1,635",,,,100%,0%,0%
TN,Democratic,"$6,133,145","$349,186",$0,"$6,482,331","$2,658,166","$420,098","$39,257","$3,117,521",95%,5%,0%,85%,13%,1%
TN,Republican,"$52,919,489","$764,102","$5,000","$53,688,591","$10,023,118","$1,024,349","$628,232","$11,675,700",99%,1%,0%,86%,9%,5%
TN,Third-Party,"$12,265",$0,$0,"$12,265","$6,219","$1,300","$4,790","$12,309",100%,0%,0%,51%,11%,39%
TX,Democratic,"$1,594,417","$49,295",$10,"$1,643,721","$15,970,015","$1,592,498","$5,478","$17,567,991",97%,3%,0%,91%,9%,0%
TX,Republican,"$85,627,049","$6,024,243","$1,020","$91,652,312","$60,678,972","$2,750,829","$132,288","$63,562,088",93%,7%,0%,95%,4%,0%
TX,Third-Party,"$1,960",$200,$0,"$2,160",$0,$0,$0,$0,91%,9%,0%,,,
UT,Democratic,$0,$0,$0,$0,"$678,199","$179,681","-$19,900","$837,980",,,,81%,21%,-2%
UT,Republican,$0,$0,$0,$0,"$1,525,532","$280,854","$33,041","$1,839,427",,,,83%,15%,2%
UT,Third-Party,$0,$0,$0,$0,"$24,571","$4,351",$0,"$28,922",,,,85%,15%,0%
VT,Democratic,"$157,024","$76,197","$85,455","$318,676","$173,243","$79,457","$180,992","$433,692",49%,24%,27%,40%,18%,42%
VT,Republican,"$298,420","$38,415","$29,622","$366,457","$107,752","$11,010","$61,131","$179,893",81%,10%,8%,60%,6%,34%
WA,Democratic,$0,$0,$0,$0,"$5,668,222","$744,558","$60,483","$6,473,263",,,,88%,12%,1%
WA,Republican,$0,$0,$0,$0,"$3,229,521","$568,216","$48,856","$3,846,593",,,,84%,15%,1%
WA,Third-Party,$0,$0,$0,$0,"$99,865","$26,905","$20,860","$147,630",,,,68%,18%,14%
WI,Democratic,"$5,956,703","$2,105,922","$240,547","$8,303,171","$3,822,724","$420,486","$110,584","$4,353,793",72%,25%,3%,88%,10%,3%
WI,Republican,"$13,074,932","$11,769,581","$15,846","$24,860,358","$5,731,688","$469,610","$84,369","$6,285,668",53%,47%,0%,91%,7%,1%
WI,Third-Party,"$15,824","$1,533",$40,"$17,396","$19,548",$845,"$4,000","$24,393",91%,9%,0%,80%,3%,16%
WY,Democratic,"$271,717","$107,798","$1,326","$380,841","$51,642","$14,814","$1,426","$67,883",71%,28%,0%,76%,22%,2%
WY,Republican,"$8,205,397","$287,255","$4,416","$8,497,068","$412,786","$78,869",$760,"$492,414",97%,3%,0%,84%,16%,0%
