state,party,contributions_10_governor/lieutenant_governor_in_state,contributions_10_governor/lieutenant_governor_out_of_state,contributions_10_governor/lieutenant_governor_unknown,contributions_10_governor/lieutenant_governor_total,contributions_10_state_house/assembly/senate_in_state,contributions_10_state_house/assembly/senate_out_of_state,contributions_10_state_house/assembly/senate_unknown,contributions_10_state_house/assembly/senate_total,pct_governor/lieutenant_governor_in_state,pct_governor/lieutenant_governor_out_of_state,pct_governor/lieutenant_governor_unknown,pct_state_house/assembly/senate_in_state,pct_state_house/assembly/senate_out_of_state,pct_state_house/assembly/senate_unknown
MA,Third-Party,"$1,305,049","$158,803","$6,285","$1,470,137","$102,972","$4,043",$50,"$107,065",89%,11%,0%,96%,4%,0%
MD,Democratic,"$6,975,421","$2,830,571","$2,658","$9,808,650","$16,884,686","$3,156,276","$21,314","$20,062,276",71%,29%,0%,84%,16%,0%
MD,Republican,"$3,891,008","$524,578",$250,"$4,415,837","$5,450,470","$532,473",$220,"$5,983,163",88%,12%,0%,91%,9%,0%
MD,Third-Party,"$4,114",$400,$0,"$4,514","$3,275",$0,$0,"$3,275",91%,9%,0%,100%,0%,0%
ME,Democratic,"$3,099,434","$321,817","$10,400","$3,431,651","$1,235,727","$13,301",$0,"$1,249,028",90%,9%,0%,99%,1%,0%
ME,Republican,"$5,845,266","$452,659","-$31,604","$6,266,321","$1,228,014","$12,279","$2,783","$1,243,075",93%,7%,-1%,99%,1%,0%
ME,Third-Party,"$1,356,860","$168,813","$2,600","$1,528,273","$72,726","$2,455",$0,"$75,181",89%,11%,0%,97%,3%,0%
MI,Democratic,"$5,042,759","$192,787","$22,043","$5,257,588","$9,469,488","$584,993","$27,960","$10,082,441",96%,4%,0%,94%,6%,0%
MI,Republican,"$16,507,762","$732,747","$3,420","$17,243,929","$12,766,308","$376,792","$11,325","$13,154,426",96%,4%,0%,97%,3%,0%
MI,Third-Party,$0,$0,$0,$0,"$33,162",$225,$238,"$33,625",,,,99%,1%,1%
MN,Democratic,"$9,736,081","$330,662","$22,130","$10,088,873","$1,127,437","$52,288","$70,401","$1,250,125",97%,3%,0%,90%,4%,6%
MN,Republican,"$849,864","$31,040",$810,"$881,714","$1,007,878","$54,563","$24,379","$1,086,819",96%,4%,0%,93%,5%,2%
MN,Third-Party,"$22,673","$1,850",$0,"$24,523","$22,760","$1,050",$600,"$24,410",92%,8%,0%,93%,4%,2%
NC,Democratic,$0,$0,$0,$0,"$7,389,568","$717,140","$10,732","$8,117,441",,,,91%,9%,0%
NC,Republican,$0,$0,$0,$0,"$5,889,071","$463,320","$8,599","$6,360,989",,,,93%,7%,0%
NC,Third-Party,$0,$0,$0,$0,"$14,387",$100,$0,"$14,487",,,,99%,1%,0%
NE,Democratic,"$75,975","$10,000",$0,"$85,975",$0,$0,$0,$0,88%,12%,0%,,,
NE,Nonpartisan,$0,$0,$0,$0,"$1,001,559","$143,054","-$19,439","$1,125,174",,,,89%,13%,-2%
NE,Republican,"$1,664,891","$292,156","-$381,400","$1,575,646",$0,$0,$0,$0,106%,19%,-24%,,,
NM,Democratic,"$3,474,085","$1,112,505","$77,390","$4,663,980","$1,021,622","$262,737","-$7,458","$1,276,902",74%,24%,2%,80%,21%,-1%
NM,Republican,"$5,449,322","$1,111,578","$533,018","$7,093,918","$516,691","$120,528","$1,227","$638,446",77%,16%,8%,81%,19%,0%
NY,Democratic,"$15,666,770","$3,927,892","$39,250","$19,633,912","$24,463,818","$2,420,852","$441,245","$27,325,915",80%,20%,0%,90%,9%,2%
NY,Republican,"$5,368,136","$529,453","$1,755","$5,899,344","$12,766,778","$834,472","$155,380","$13,756,630",91%,9%,0%,93%,6%,1%
NY,Third-Party,"$27,864","$3,973",$0,"$31,837","$1,416,412","$115,062","$9,974","$1,541,448",88%,12%,0%,92%,7%,1%
OH,Democratic,"$15,516,763","$3,592,053","$5,813","$19,114,629","$22,493,001","$1,977,509","$218,282","$24,688,792",81%,19%,0%,91%,8%,1%
OH,Republican,"$14,702,700","$2,968,463",$600,"$17,671,763","$19,586,543","$1,123,856","$140,193","$20,850,592",83%,17%,0%,94%,5%,1%
OH,Third-Party,"$12,533",$0,$0,"$12,533","$62,246","$7,843","$1,886","$71,975",100%,0%,0%,86%,11%,3%
OK,Democratic,"$5,453,542","$325,012",$0,"$5,778,554","$3,397,382","$280,083",$0,"$3,677,465",94%,6%,0%,92%,8%,0%
OK,Republican,"$3,998,301","$288,362",$0,"$4,286,663","$4,856,197","$381,096",$0,"$5,237,293",93%,7%,0%,93%,7%,0%
OK,Third-Party,$0,$0,$0,$0,"$18,031",$0,$0,"$18,031",,,,100%,0%,0%
OR,Democratic,"$2,082,737","$260,997","$1,890","$2,345,624","$4,031,227","$623,193","$1,000","$4,655,420",89%,11%,0%,87%,13%,0%
OR,Republican,"$3,508,422","$918,843",$0,"$4,427,265","$2,559,784","$470,019",$500,"$3,030,303",79%,21%,0%,84%,16%,0%
OR,Third-Party,"$5,500",$0,$0,"$5,500","$8,095",$0,$0,"$8,095",100%,0%,0%,100%,0%,0%
PA,Democratic,"$28,799,364","$6,133,269","$109,211","$35,041,844","$24,208,856","$1,559,781","$99,392","$25,868,028",82%,18%,0%,94%,6%,0%
PA,Republican,"$20,221,730","$9,229,270","$1,500","$29,452,501","$20,720,867","$1,416,418","$121,688","$22,258,973",69%,31%,0%,93%,6%,1%
PA,Third-Party,$0,$0,$0,$0,"$54,383","$12,460",$0,"$66,843",,,,81%,19%,0%
SC,Democratic,"$3,360,717","$461,687",$0,"$3,822,404","$1,146,612","$207,362",-$584,"$1,353,390",88%,12%,0%,85%,15%,0%
SC,Republican,"$7,926,532","$1,867,793",$0,"$9,794,325","$3,525,556","$686,641","$6,500","$4,218,697",81%,19%,0%,84%,16%,0%
SC,Third-Party,"$8,500",$0,$0,"$8,500","$42,966","$2,912",$0,"$45,878",100%,0%,0%,94%,6%,0%
TN,Democratic,"$2,384,218","$183,700",$0,"$2,567,918","$2,964,497","$385,610","$53,070","$3,403,177",93%,7%,0%,87%,11%,2%
TN,Republican,"$19,570,553","$1,772,740",$677,"$21,343,971","$3,597,687","$411,189","$12,560","$4,021,436",92%,8%,0%,89%,10%,0%
TN,Third-Party,"$17,136",$650,$0,"$17,786","$125,600","$30,025",$0,"$155,625",96%,4%,0%,81%,19%,0%
TX,Democratic,"$24,449,536","$3,224,638","$5,775","$27,679,949","$17,314,748","$959,476","$5,275","$18,279,499",88%,12%,0%,95%,5%,0%
TX,Republican,"$51,917,593","$3,034,336","$2,710","$54,954,639","$30,015,891","$1,955,732",$200,"$31,971,823",94%,6%,0%,94%,6%,0%
TX,Third-Party,"$6,823",$0,$0,"$6,823","$6,762","$3,404",$0,"$10,166",100%,0%,0%,67%,33%,0%
UT,Democratic,"$588,891","$85,567",$0,"$674,458","$856,467","$166,825","-$1,000","$1,022,292",87%,13%,0%,84%,16%,0%
UT,Republican,"$1,243,874","$19,250",$0,"$1,263,124","$1,611,542","$195,023","-$5,600","$1,800,966",98%,2%,0%,89%,11%,0%
UT,Third-Party,"$2,425","$1,000",$0,"$3,425","$4,978",$20,$0,"$4,998",71%,29%,0%,100%,0%,0%
VT,Democratic,"$1,170,855","$475,723",$0,"$1,646,578","$104,409","$29,755",$94,"$134,258",71%,29%,0%,78%,22%,0%
VT,Republican,"$892,003","$222,228",$0,"$1,114,230","$126,607","$33,991","$1,520","$162,118",80%,20%,0%,78%,21%,1%
VT,Third-Party,"$1,575",$500,$0,"$2,075","$8,081",$400,$0,"$8,481",76%,24%,0%,95%,5%,0%
WA,Democratic,$0,$0,$0,$0,"$5,443,813","$726,102","$9,308","$6,179,223",,,,88%,12%,0%
WA,Republican,$0,$0,$0,$0,"$4,150,616","$628,252","$10,508","$4,789,377",,,,87%,13%,0%
WA,Third-Party,$0,$0,$0,$0,"$119,358","$15,455",$160,"$134,973",,,,88%,11%,0%
WI,Democratic,"$4,209,187","$619,881",$29,"$4,829,097","$3,042,830","$288,290","$3,919","$3,335,039",87%,13%,0%,91%,9%,0%
WI,Republican,"$12,596,709","$459,966","$11,584","$13,068,259","$3,822,294","$262,023","$9,344","$4,093,662",96%,4%,0%,93%,6%,0%
WI,Third-Party,"$4,244",$0,"$1,000","$5,244","$16,366","$3,683",$365,"$20,414",81%,0%,19%,80%,18%,2%
WY,Democratic,"$143,214","$22,008",$0,"$165,222","$106,684","$17,615",$0,"$124,299",87%,13%,0%,86%,14%,0%
WY,Republican,"$3,037,283","$225,588","$50,001","$3,312,872","$343,438","$38,479",$128,"$382,045",92%,7%,2%,90%,10%,0%
WY,Third-Party,"$2,123",$0,$0,"$2,123",$0,$0,$0,$0,100%,0%,0%,,,
